filename,dataset,reason
corrected_061.jpg,Kaggle,low DPI: 72
corrected_062.jpg,Kaggle,low DPI: 72
corrected_063.jpg,Kaggle,low DPI: 72
corrected_064.jpg,Kaggle,low DPI: 72
corrected_065.jpg,Kaggle,low DPI: 72
corrected_066.jpg,Kaggle,low DPI: 72
corrected_067.jpg,Kaggle,low DPI: 72
corrected_068.jpg,Kaggle,low DPI: 72
corrected_069.jpg,Kaggle,low DPI: 72
corrected_070.jpg,Kaggle,low DPI: 72
corrected_071.jpg,Kaggle,low DPI: 72
corrected_072.jpg,Kaggle,low DPI: 72
corrected_073.jpg,Kaggle,low DPI: 72
corrected_074.jpg,Kaggle,low DPI: 72
corrected_075.jpg,Kaggle,low DPI: 72
corrected_076.jpg,Kaggle,low DPI: 72
corrected_077.jpg,Kaggle,low DPI: 72
corrected_078.jpg,Kaggle,low DPI: 72
corrected_079.jpg,Kaggle,low DPI: 72
corrected_080.jpg,Kaggle,low DPI: 72
corrected_081.jpg,Kaggle,low DPI: 72
corrected_082.jpg,Kaggle,low DPI: 72
corrected_083.jpg,Kaggle,low DPI: 72
corrected_084.jpg,Kaggle,low DPI: 72
corrected_085.jpg,Kaggle,low DPI: 72
corrected_086.jpg,Kaggle,low DPI: 72
corrected_087.jpg,Kaggle,low DPI: 72
corrected_088.jpg,Kaggle,low DPI: 72
corrected_089.jpg,Kaggle,low DPI: 72
corrected_090.jpg,Kaggle,low DPI: 72
corrected_091.jpg,Kaggle,low DPI: 72
corrected_092.jpg,Kaggle,low DPI: 72
corrected_093.jpg,Kaggle,low DPI: 72
corrected_094.jpg,Kaggle,low DPI: 72
corrected_095.jpg,Kaggle,low DPI: 72
corrected_096.jpg,Kaggle,low DPI: 72
corrected_097.jpg,Kaggle,low DPI: 72
corrected_098.jpg,Kaggle,low DPI: 72
corrected_099.jpg,Kaggle,low DPI: 72
corrected_100.jpg,Kaggle,low DPI: 72
corrected_101.jpg,Kaggle,low DPI: 72
corrected_102.jpg,Kaggle,low DPI: 72
corrected_103.jpg,Kaggle,low DPI: 72
corrected_104.jpg,Kaggle,low DPI: 72
corrected_105.jpg,Kaggle,low DPI: 72
corrected_106.jpg,Kaggle,low DPI: 72
corrected_107.jpg,Kaggle,low DPI: 72
corrected_108.jpg,Kaggle,low DPI: 72
corrected_109.jpg,Kaggle,low DPI: 72
corrected_110.jpg,Kaggle,low DPI: 72
corrected_111.jpg,Kaggle,low DPI: 72
corrected_112.jpg,Kaggle,low DPI: 72
corrected_113.jpg,Kaggle,low DPI: 72
corrected_114.jpg,Kaggle,low DPI: 72
corrected_115.jpg,Kaggle,low DPI: 72
corrected_116.jpg,Kaggle,low DPI: 72
corrected_117.jpg,Kaggle,low DPI: 72
corrected_118.jpg,Kaggle,low DPI: 72
corrected_119.jpg,Kaggle,low DPI: 72
corrected_120.jpg,Kaggle,low DPI: 72
corrected_121.jpg,Kaggle,low DPI: 72
corrected_122.jpg,Kaggle,low DPI: 72
corrected_123.jpg,Kaggle,low DPI: 72
corrected_124.jpg,Kaggle,low DPI: 72
corrected_125.jpg,Kaggle,low DPI: 72
corrected_126.jpg,Kaggle,low DPI: 72
corrected_127.jpg,Kaggle,low DPI: 72
corrected_128.jpg,Kaggle,low DPI: 72
corrected_129.jpg,Kaggle,low DPI: 72
corrected_130.jpg,Kaggle,low DPI: 72
corrected_131.jpg,Kaggle,low DPI: 72
corrected_132.jpg,Kaggle,low DPI: 72
corrected_133.jpg,Kaggle,low DPI: 72
corrected_134.jpg,Kaggle,low DPI: 72
corrected_135.jpg,Kaggle,low DPI: 72
corrected_136.jpg,Kaggle,low DPI: 72
corrected_137.jpg,Kaggle,low DPI: 72
corrected_138.jpg,Kaggle,low DPI: 72
corrected_139.jpg,Kaggle,low DPI: 72
corrected_140.jpg,Kaggle,low DPI: 72
corrected_141.jpg,Kaggle,low DPI: 72
corrected_142.jpg,Kaggle,low DPI: 72
corrected_143.jpg,Kaggle,low DPI: 72
corrected_144.jpg,Kaggle,low DPI: 72
corrected_145.jpg,Kaggle,low DPI: 72
corrected_146.jpg,Kaggle,low DPI: 72
corrected_147.jpg,Kaggle,low DPI: 72
corrected_148.jpg,Kaggle,low DPI: 72
corrected_149.jpg,Kaggle,low DPI: 72
corrected_150.jpg,Kaggle,low DPI: 72
corrected_151.jpg,Kaggle,low DPI: 72
corrected_152.jpg,Kaggle,low DPI: 72
corrected_153.jpg,Kaggle,low DPI: 72
corrected_154.jpg,Kaggle,low DPI: 72
corrected_155.jpg,Kaggle,low DPI: 72
corrected_156.jpg,Kaggle,low DPI: 72
corrected_157.jpg,Kaggle,low DPI: 72
corrected_158.jpg,Kaggle,low DPI: 72
corrected_159.jpg,Kaggle,low DPI: 72
corrected_160.jpg,Kaggle,low DPI: 72
corrected_161.jpg,Kaggle,low DPI: 72
corrected_162.jpg,Kaggle,low DPI: 72
corrected_163.jpg,Kaggle,low DPI: 72
corrected_164.jpg,Kaggle,low DPI: 72
corrected_165.jpg,Kaggle,low DPI: 72
corrected_166.jpg,Kaggle,low DPI: 72
corrected_167.jpg,Kaggle,low DPI: 72
corrected_168.jpg,Kaggle,low DPI: 72
corrected_169.jpg,Kaggle,low DPI: 72
corrected_170.jpg,Kaggle,low DPI: 72
corrected_171.jpg,Kaggle,low DPI: 72
corrected_172.jpg,Kaggle,low DPI: 72
corrected_173.jpg,Kaggle,low DPI: 72
corrected_174.jpg,Kaggle,low DPI: 72
corrected_175.jpg,Kaggle,low DPI: 72
corrected_176.jpg,Kaggle,low DPI: 72
corrected_177.jpg,Kaggle,low DPI: 72
corrected_178.jpg,Kaggle,low DPI: 72
corrected_179.jpg,Kaggle,low DPI: 72
corrected_180.jpg,Kaggle,low DPI: 72
corrected_181.jpg,Kaggle,low DPI: 72
corrected_182.jpg,Kaggle,low DPI: 72
corrected_183.jpg,Kaggle,low DPI: 72
corrected_184.jpg,Kaggle,low DPI: 72
corrected_185.jpg,Kaggle,low DPI: 72
corrected_186.jpg,Kaggle,low DPI: 72
corrected_187.jpg,Kaggle,low DPI: 72
corrected_188.jpg,Kaggle,low DPI: 72
corrected_189.jpg,Kaggle,low DPI: 72
corrected_190.jpg,Kaggle,low DPI: 72
corrected_191.jpg,Kaggle,low DPI: 72
corrected_192.jpg,Kaggle,low DPI: 72
corrected_193.jpg,Kaggle,low DPI: 72
corrected_194.jpg,Kaggle,low DPI: 72
corrected_195.jpg,Kaggle,low DPI: 72
corrected_196.jpg,Kaggle,low DPI: 72
corrected_197.jpg,Kaggle,low DPI: 72
corrected_198.jpg,Kaggle,low DPI: 72
corrected_199.jpg,Kaggle,low DPI: 72
corrected_200.jpg,Kaggle,low DPI: 72
corrected_201.jpg,Kaggle,low DPI: 72
corrected_202.jpg,Kaggle,low DPI: 72
corrected_203.jpg,Kaggle,low DPI: 72
corrected_204.jpg,Kaggle,low DPI: 72
corrected_205.jpg,Kaggle,low DPI: 72
corrected_206.jpg,Kaggle,low DPI: 72
corrected_207.jpg,Kaggle,low DPI: 72
corrected_208.jpg,Kaggle,low DPI: 72
corrected_209.jpg,Kaggle,low DPI: 72
corrected_210.jpg,Kaggle,low DPI: 72
corrected_211.jpg,Kaggle,low DPI: 72
corrected_212.jpg,Kaggle,low DPI: 72
corrected_213.jpg,Kaggle,low DPI: 72
corrected_214.jpg,Kaggle,low DPI: 72
corrected_215.jpg,Kaggle,low DPI: 72
corrected_216.jpg,Kaggle,low DPI: 72
corrected_217.jpg,Kaggle,low DPI: 72
corrected_218.jpg,Kaggle,low DPI: 72
corrected_219.jpg,Kaggle,low DPI: 72
corrected_220.jpg,Kaggle,low DPI: 72
corrected_221.jpg,Kaggle,low DPI: 72
corrected_222.jpg,Kaggle,low DPI: 72
corrected_223.jpg,Kaggle,low DPI: 72
corrected_224.jpg,Kaggle,low DPI: 72
corrected_225.jpg,Kaggle,low DPI: 72
corrected_226.jpg,Kaggle,low DPI: 72
corrected_227.jpg,Kaggle,low DPI: 72
corrected_228.jpg,Kaggle,low DPI: 72
corrected_229.jpg,Kaggle,low DPI: 72
corrected_230.jpg,Kaggle,low DPI: 72
corrected_231.jpg,Kaggle,low DPI: 72
corrected_232.jpg,Kaggle,low DPI: 72
corrected_233.jpg,Kaggle,low DPI: 72
corrected_234.jpg,Kaggle,low DPI: 72
corrected_235.jpg,Kaggle,low DPI: 72
corrected_236.jpg,Kaggle,low DPI: 72
corrected_237.jpg,Kaggle,low DPI: 72
corrected_238.jpg,Kaggle,low DPI: 72
corrected_239.jpg,Kaggle,low DPI: 72
corrected_240.jpg,Kaggle,low DPI: 72
corrected_241.jpg,Kaggle,low DPI: 72
corrected_242.jpg,Kaggle,low DPI: 72
corrected_243.jpg,Kaggle,low DPI: 72
corrected_244.jpg,Kaggle,low DPI: 72
corrected_245.jpg,Kaggle,low DPI: 72
corrected_246.jpg,Kaggle,low DPI: 72
corrected_247.jpg,Kaggle,low DPI: 72
corrected_248.jpg,Kaggle,low DPI: 72
corrected_249.jpg,Kaggle,low DPI: 72
corrected_250.jpg,Kaggle,low DPI: 72
corrected_251.jpg,Kaggle,low DPI: 72
corrected_252.jpg,Kaggle,low DPI: 72
corrected_253.jpg,Kaggle,low DPI: 72
corrected_254.jpg,Kaggle,low DPI: 72
corrected_255.jpg,Kaggle,low DPI: 72
corrected_256.jpg,Kaggle,low DPI: 72
corrected_257.jpg,Kaggle,low DPI: 72
corrected_258.jpg,Kaggle,low DPI: 72
corrected_259.jpg,Kaggle,low DPI: 72
corrected_260.jpg,Kaggle,low DPI: 72
corrected_261.jpg,Kaggle,low DPI: 72
corrected_262.jpg,Kaggle,low DPI: 72
corrected_263.jpg,Kaggle,low DPI: 72
corrected_264.jpg,Kaggle,low DPI: 72
corrected_265.jpg,Kaggle,low DPI: 72
corrected_266.jpg,Kaggle,low DPI: 72
corrected_267.jpg,Kaggle,low DPI: 72
corrected_268.jpg,Kaggle,low DPI: 72
corrected_269.jpg,Kaggle,low DPI: 72
corrected_270.jpg,Kaggle,low DPI: 72
corrected_271.jpg,Kaggle,low DPI: 72
corrected_272.jpg,Kaggle,low DPI: 72
